choose_one_category,agreement,rnd_agreement,id,po,pe,k
caution_and_advice,25.0,7.0,39,0.6410256410256411,0.1794871794871795,0.5625
displaced_people_and_evacuations,4.0,0.0,7,0.5714285714285714,0.0,0.5714285714285714
donation_needs_or_offers_or_volunteering_services,133.0,25.0,207,0.642512077294686,0.12077294685990338,0.5934065934065934
infrastructure_and_utilities_damage,55.0,8.0,73,0.7534246575342466,0.1095890410958904,0.7230769230769231
injured_or_dead_people,742.0,134.0,1165,0.6369098712446352,0.11502145922746781,0.5897187196896218
missing_trapped_or_found_people,3.0,0.0,4,0.75,0.0,0.75
not_related_or_irrelevant,1277.0,221.0,1946,0.6562178828365879,0.11356628982528263,0.6121739130434782
other_useful_information,250.0,55.0,426,0.5868544600938967,0.12910798122065728,0.5256064690026955
sympathy_and_emotional_support,203.0,31.0,325,0.6246153846153846,0.09538461538461539,0.5850340136054422
